rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
6377,10416390,K05792.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,1,0,0,0,215.737826,0.00209,-0.00209,330.88376,0.00614,-0.00614,0.916,6.867,-0.059,7.257,0.229,-0.229,8476.0,271.0,-271.0,8.71,0.83,-0.83,231.0,,,0.67,0.26,-0.19,36.8,1.0,q1_q17_dr25_tce,4889.0,175.0,-175.0,4.574,0.055,-0.045,0.724,0.069,-0.069,296.2486,47.526539,15.705
6378,10419108,K05793.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,507.48249,0.05561,-0.05561,251.1107,0.0845,-0.0845,0.7261,0.213,-0.4791,8.19,1.8,-1.8,232.1,31.2,-31.2,1.22,0.42,-0.12,189.0,,,0.3,0.32,-0.08,9.7,1.0,q1_q16_tce,5227.0,163.0,-130.0,4.541,0.071,-0.603,0.744,0.256,-0.074,297.04718,47.51762,12.941
6379,10453009,K05794.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,30.9771151,0.0005036,-0.0005036,145.6475,0.0126,-0.0126,0.5092,0.0446,-0.436,3.188,0.525,-0.525,125.0,24.8,-24.8,4.3,1.9,-1.41,950.0,,,192.79,247.32,-116.14,6.8,1.0,q1_q16_tce,5197.0,122.0,-167.0,3.453,0.248,-0.284,3.784,1.674,-1.237,283.58612,47.633739,13.785
6380,10459749,K05795.01,,CANDIDATE,CANDIDATE,,0,0,0,0,19.11280242,,,143.6245952,,,,,,1.58,,,,,,,,,,,,,,,,1.0,q1_q16_tce,,,,,,,,,,287.11761,47.61618,15.952
6381,7701809,K05415.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,30.2111162,0.0005007,-0.0005007,160.3175,0.0142,-0.0142,0.0666,0.4509,-0.0662,4.202,0.949,-0.949,92.6,31.8,-31.8,4.44,1.87,-1.76,1033.0,,,269.29,326.29,-183.73,6.5,1.0,q1_q16_tce,5132.0,117.0,-175.0,3.321,0.292,-0.278,4.732,1.995,-1.873,297.53174,43.350368,13.514
6382,7731281,K05416.01,Kepler-1628 b,CONFIRMED,FALSE POSITIVE,0.0,1,0,0,0,76.377855,0.001825,-0.001825,146.3485,0.0315,-0.0315,0.577,0.269,-0.363,4.809,0.163,-0.163,11004.0,320.0,-320.0,6.28,0.4,-0.8,240.0,,,0.78,0.24,-0.27,38.6,1.0,q1_q17_dr25_tce,3869.0,133.0,-147.0,4.674,0.068,-0.023,0.584,0.037,-0.074,281.6337,43.411579,16.595
6383,7743464,K05417.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,55.249007325,2.291e-06,-2.291e-06,164.9788729,3.35e-05,-3.35e-05,0.785,0.008,-0.015,5.15147,0.00093,-0.00093,205670.0,26.3,-26.3,60.79,19.71,-6.54,496.0,,,14.25,14.04,-4.55,3452.5,1.0,q1_q17_dr25_tce,6063.0,191.0,-233.0,4.476,0.04,-0.216,1.012,0.328,-0.109,288.15308,43.47356,14.925
6384,7747091,K05418.01,,CANDIDATE,CANDIDATE,0.997,0,0,0,0,14.2673439,0.0002308,-0.0002308,133.9655,0.0127,-0.0127,0.042,0.413,-0.041,3.171,0.58,-0.58,217.5,29.5,-29.5,1.21,0.29,-0.09,657.0,,,44.12,32.09,-11.06,9.0,1.0,q1_q17_dr25_tce,5475.0,164.0,-164.0,4.567,0.03,-0.17,0.837,0.2,-0.067,289.72818,43.488239,15.181
6385,7747197,K05419.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,22.52907,0.0003496,-0.0003496,142.2496,0.0139,-0.0139,0.3668,0.1449,-0.3668,1.373,0.388,-0.388,327.1,90.9,-90.9,1.39,0.34,-0.1,532.0,,,18.89,14.22,-4.44,4.8,1.0,q1_q16_tce,5284.0,175.0,-141.0,4.594,0.028,-0.149,0.769,0.185,-0.059,289.76526,43.432331,15.607
6386,7751133,K05421.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,1,370.91308,0.01344,-0.01344,261.1884,0.0205,-0.0205,0.3443,0.1107,-0.3442,17.655,0.788,-0.788,270.3,20.8,-20.8,1.74,0.66,-0.22,266.0,,,1.18,1.31,-0.38,17.5,1.0,q1_q16_tce,5892.0,153.0,-171.0,4.386,0.097,-0.256,1.054,0.397,-0.137,291.13617,43.476749,13.648
6387,7757620,K05422.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,360.64485255,,,186.8852982,,,,,,11.19,,,,,,,,,,,,,,,,1.0,q1_q16_tce,,,,,,,,,,293.41537,43.41761,13.579
6388,8560475,K05543.01,,CANDIDATE,CANDIDATE,1.0,0,0,0,0,7.41505161,2.712e-05,-2.712e-05,133.31055,0.00244,-0.00244,0.979,0.032,-0.699,2.061,0.13,-0.13,937.0,57.4,-57.4,91.09,4.01,-34.07,2815.0,,,14853.21,2978.97,-10090.87,18.3,1.0,q1_q17_dr25_tce,4989.0,122.0,-244.0,2.442,0.033,-0.033,18.266,0.804,-6.832,291.97943,44.69516,13.56
6389,8561192,K05544.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,2.742590902,8.022e-06,-8.022e-06,132.6997,0.00256,-0.00256,0.473,0.021,-0.02,10.4143,0.0358,-0.0358,680400.0,1469.0,-1469.0,176.4,53.38,-38.8,1960.0,,,3487.05,3219.74,-1713.5,682.9,1.0,q1_q17_dr25_tce,7072.0,225.0,-310.0,4.129,0.157,-0.192,1.705,0.516,-0.375,292.27148,44.697262,16.267
6390,8570210,K05545.01,,CANDIDATE,CANDIDATE,,0,0,0,0,541.04472,0.02119,-0.02119,372.4781,0.0277,-0.0277,0.2387,0.2201,-0.2387,12.47,1.1,-1.1,181.5,21.9,-21.9,1.08,0.48,-0.07,206.0,,,0.43,0.56,-0.1,8.8,1.0,q1_q16_tce,5829.0,156.0,-144.0,4.575,0.03,-0.3,0.802,0.354,-0.058,295.59698,44.613892,13.607
6391,8571421,K05546.01,,CANDIDATE,CANDIDATE,,0,0,0,0,514.271499,0.006193,-0.006193,416.76798,0.00884,-0.00884,0.2032,0.2446,-0.2031,3.46,0.281,-0.281,688.9,88.3,-88.3,3.01,1.32,-0.36,258.0,,,1.04,1.33,-0.34,9.0,1.0,q1_q16_tce,6343.0,153.0,-229.0,4.411,0.058,-0.274,1.137,0.498,-0.135,295.97278,44.645088,14.848
6392,8574794,K05547.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,571.14302,0.04464,-0.04464,251.0392,0.0603,-0.0603,0.5041,0.004,-0.4699,10.06,1.4,-1.4,531.3,93.5,-93.5,2.22,0.85,-0.17,210.0,,,0.46,0.53,-0.12,8.5,1.0,q1_q16_tce,5751.0,154.0,-192.0,4.514,0.03,-0.287,0.943,0.365,-0.071,296.9707,44.61042,14.851
6393,8575061,K05548.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,216.453511,0.00386,-0.00386,299.1452,0.0115,-0.0115,0.0052,0.4655,-0.0052,3.321,0.435,-0.435,1137.0,158.0,-158.0,2.91,1.22,-0.35,274.0,,,1.34,1.8,-0.42,7.5,1.0,q1_q16_tce,5385.0,211.0,-166.0,4.46,0.095,-0.276,0.878,0.368,-0.104,297.04089,44.62812,15.638
6394,8612291,K05549.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,37.0488669,,,142.0283185,,,,,,2.48,,,,,,,,,,,,,,,,1.0,q1_q16_tce,,,,,,,,,,286.28964,44.745998,14.042
6395,8613769,K05550.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,540.39267,0.02241,-0.02241,196.0854,0.0224,-0.0224,0.3683,0.1061,-0.3682,9.233,0.751,-0.751,1780.0,162.0,-162.0,3.63,1.21,-0.29,206.0,,,0.42,0.42,-0.1,15.1,1.0,q1_q16_tce,5693.0,164.0,-156.0,4.551,0.028,-0.243,0.856,0.286,-0.067,287.08969,44.792,15.959
6396,9412267,K05670.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,542.16158927,,,428.8111364,,,,,,8.77,,,,,,,,,,,,,,,,1.0,q1_q16_tce,,,,,,,,,,295.06277,45.9039,14.043
6397,9417931,K05671.01,,CANDIDATE,CANDIDATE,,0,0,0,0,190.905243,0.004446,-0.004446,193.3008,0.0159,-0.0159,0.3708,0.1451,-0.3285,2.529,0.407,-0.407,227.1,38.8,-38.8,1.73,0.68,-0.27,356.0,,,3.81,4.39,-1.4,7.4,1.0,q1_q16_tce,6098.0,159.0,-183.0,4.321,0.134,-0.252,1.131,0.444,-0.175,296.97369,45.995209,13.574
6398,9418508,K05672.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,11.0153889,0.0004877,-0.0004877,140.6804,0.0609,-0.0609,1.287,6.84,-0.496,2.666,0.107,-0.107,3446.0,130.0,-130.0,65.27,35.9,-39.48,1047.0,,,284.63,509.5,-246.04,31.8,1.0,q1_q17_dr25_tce,5515.0,210.0,-191.0,3.899,0.7,-0.3,1.678,0.923,-1.015,297.14429,45.950981,14.333
6399,9449320,K05673.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,28.34230575,,,141.4055394,,,,,,1.65,,,,,,,,,,,,,,,,1.0,q1_q16_tce,,,,,,,,,,283.80612,46.065563,12.74
6400,9451521,K05674.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,231.521608,0.003347,-0.003347,341.06653,0.00922,-0.00922,0.5303,0.0338,-0.4571,2.819,0.332,-0.332,478.7,84.5,-84.5,1.96,0.58,-0.16,274.0,,,1.34,1.17,-0.32,6.1,1.0,q1_q16_tce,5695.0,150.0,-155.0,4.545,0.027,-0.225,0.872,0.262,-0.068,285.07355,46.033482,14.821
6401,9455322,K05675.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,180.890384,0.002769,-0.002769,162.9617,0.0136,-0.0136,0.3417,0.1408,-0.3415,1.901,0.405,-0.405,205.3,39.2,-39.2,2.47,1.51,-0.54,480.0,,,12.58,23.82,-6.0,5.8,1.0,q1_q16_tce,7037.0,193.0,-277.0,4.136,0.137,-0.346,1.683,1.029,-0.364,287.25385,46.094769,13.61
6402,9455526,K05676.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,60.0546149,0.0007802,-0.0007802,181.8867,0.0101,-0.0101,0.3355,0.1351,-0.3354,3.435,0.402,-0.402,326.1,33.4,-33.4,5.24,2.49,-1.6,694.0,,,54.88,77.42,-31.51,11.8,1.0,q1_q16_tce,5242.0,136.0,-162.0,3.606,0.258,-0.313,2.917,1.386,-0.89,287.37115,46.051189,13.571
